ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor,Theta,Mu,B_opt1,B_opt2,B_opt3,B_opt4,B_opt5,Err1,Err2,Err3,Err4,Err5
AC0042,14,56,-0.46866,-0.45121,-0.41504,-0.39331,-0.34581,0.03534,0.04506,0.05205,0.05523,0.06196,-1.5418473,-339.6866635317,6.05489619642857,-25.8192064107143,8.69221291071429,-0.829396392857143,5.83566042857143,2.447,2,9.69753262102604,-0.2310888671875,1.79022598266602,-0.33835735321045,1.13410511016846,-0.345220947265626,1.17966156005859,7.73987252067343E-09,2.73631637348615E-08,8.20711962834508E-08,0.600601252083685,7.44487027581897E-08
AC0043,13,38,-0.51808,-0.4889,-0.46037,-0.42672,-0.3371,0.04119,0.05331,0.0549,0.06022,0.07468,-0.98551335,-194.0040077018,5.09659107894737,-20.4110537894737,6.69240086842105,-0.757105263157895,4.2737985,0.5899,2,10.4043313354254,-0.23,1.75666875839234,-0.178738498687745,1.08200807571411,-0.823291397094728,1.11527462005615,6.07355821191646E-09,3.21100472877589E-08,6.42928141836308E-08,0.063152723072135,3.10851111517962E-08
AC0044,16,46,-0.49866,-0.45554,-0.44318,-0.436,-0.3519,0.04135,0.05228,0.05303,0.05972,0.06948,-1.1935202,-233.0515991409,5.05826086956522,-21.654454673913,7.34567093478261,-0.75412952173913,4.9383132826087,0.405,2,10.3367273926735,-0.230419921875,1.80443210601807,-0.098894691467286,1.09095239639282,-0.836671638488771,1.11708564758301,7.80488873530771E-09,4.37869167591032E-08,2.25321130642442E-08,0.17282533492986,7.18769632701566E-08
AC0045,19,54,-0.4705,-0.46475,-0.45947,-0.45257,-0.35227,0.04127,0.0521,0.05262,0.05744,0.06945,-1.4009924,-272.1277921551,5.03154457407408,-22.8440359444444,7.96117855555556,-0.752363203703704,5.56427246296296,0.4956,2,10.2477158546448,-0.230859375,1.82813138961792,-0.062532138824464,1.09227590560913,-1.11088247299194,1.11309747695923,1.87758708580787E-08,5.02510986155613E-08,3.13873340651583E-08,0.029492127869785,7.45744399566206E-09
AC0047,15,46,-0.50043,-0.47461,-0.45499,-0.3765,-0.36019,0.04002,0.05074,0.05421,0.05907,0.071,-1.222023,-249.046407312,5.40502754347826,-22.6100180217391,7.57158997826087,-0.777303086956522,4.99665126086957,1.3571,2,10.1580234646797,-0.228017578125,1.80923719406128,-0.189802074432374,1.11561555862427,-0.606630516052247,1.14934120178223,2.70449440620268E-09,1.30933308639669E-08,2.40883790691981E-08,0.31228186209048,4.92361404980102E-08
AC0048,18,54,-0.47832,-0.47474,-0.45791,-0.37269,-0.35914,0.04038,0.0512,0.05359,0.05834,0.06948,-1.4292791,-288.1229913903,5.32702653703704,-23.7051087962963,8.17699198148148,-0.772162351851852,5.6376417037037,1.0724,2,10.1053772002459,-0.2280322265625,1.82531299591065,-0.153312206268312,1.11465044021606,-0.812744426727297,1.14282875061035,1.06059798721247E-08,4.84855915416915E-08,9.11846014250983E-08,0.230971175454101,8.56834965201614E-08
AC0049,21,62,-0.46697,-0.44579,-0.44378,-0.37,-0.36115,0.04121,0.04926,0.05229,0.05373,0.06712,-1.637807,-327.1765324132,5.26876175806452,-24.708614516129,8.72151443548387,-0.768105129032258,6.20940261290323,0.9177,2,10.0750708520412,-0.2273388671875,1.8363341331482,-0.142659187316896,1.11573476791382,-0.860973262786867,1.13727235794067,1.09239617351875E-09,1.44753833364319E-08,4.36011937665626E-08,0.220734306929075,8.32840936215717E-08
AC0050,14,46,-0.51362,-0.46961,-0.46343,-0.4181,-0.36975,0.03967,0.05044,0.0533,0.06167,0.07036,-1.2409045,-268.8838474095,5.83552765217391,-23.6943965217391,7.80690393478261,-0.804770869565217,5.0114347826087,2.1216,2,9.8742112070322,-0.2358740234375,1.81744756698609,-0.134233283996583,1.11929140090942,-0.6785701751709,1.15006303787232,1.19265473053076E-08,3.4935865533825E-08,8.5415980954906E-08,0.278095791361689,1.47163299324404E-08
AC0051,17,54,-0.48812,-0.47712,-0.46832,-0.41561,-0.36338,0.03993,0.05033,0.05224,0.05854,0.06814,-1.4471307,-307.9608770773,5.69374827777778,-24.6567551851852,8.39144585185185,-0.795620111111111,5.66420196296296,1.9682,2,9.87057467401028,-0.234736328125,1.83346090316773,-0.105001640319825,1.1182785987854,-0.911318016052248,1.14295101165772,7.07623759588216E-09,1.04243518261882E-08,3.12322527840081E-08,0.179010021803998,3.01359797116874E-08
AC0052,20,62,-0.48151,-0.45693,-0.44836,-0.40827,-0.36415,0.04122,0.04851,0.05102,0.05413,0.06759,-1.65536,-347.0124000639,5.588103,-25.5449933548387,8.91198583870968,-0.788485596774194,6.23641591935484,1.7131,2,9.87345425188542,-0.233134765625,1.84451808929444,-0.098653793334962,1.11839256286621,-0.97445468902588,1.13852853775024,7.37960448304875E-09,1.53137520442215E-08,2.16813611508826E-08,0.148518796442409,2.19499329823236E-09
AC0053,4,14,-1.02952,-0.76677,-0.6801,-0.41022,-0.41022,0.04188,0.04673,0.1126,0.1126,0.12633,-0.36745241,-76.8473674351,5.47496114285714,-16.2943999285714,4.35167764285714,-0.783674428571428,1.76233785714286,0,2,10.9200510829687,-0.228984375,1.73273220062256,-0.252323150634767,1.07450265884399,0.294932842254638,1.16151523590088,8.37389624308571E-09,5.42125899727353E-10,2.24959212924425E-08,0.261205998088217,1.06051043502475E-08
AC0055,5,22,-0.70711,-0.66483,-0.62287,-0.39551,-0.37848,0.03544,0.0484,0.10323,0.12469,0.12582,-0.62257226,-151.7244907833,6.88158463636364,-21.4627993181818,5.92726804545455,-0.874411045454545,2.63178990909091,1.6755,2,9.69217357337475,-0.22884765625,1.74583158493042,-0.670189571380617,1.15245590209961,-0.073612594604493,1.23071050643921,1.2314743114139E-08,9.48546530210592E-09,3.22519645434838E-08,0.281553494553147,1.24986384575365E-08
